,title,link,image,author,price,discount,publisher,isbn,description,pubdate
82,한밤의 아이들 2 (문학동네 세계문학전집 80),http://book.naver.com/bookdb/book_detail.php?bid=6750854,https://bookthumb-phinf.pstatic.net/cover/067/508/06750854.jpg?type=m1&udate=20111019,살만 루슈디,14000,12600,문학동네,895461535X 9788954615358,"1981년 출간되어 그해 부커상과 테이트 블랙 메모리얼 상을 수상했으며, 이후 부커상 25주년 기념 ‘부커 오브 부커스’, 부커상 40주년을 기념해 일반 독자를 대상으로 수상작 중 가장 사랑하는 작품을 선정한 ‘베스트 오브 더 부커’를 수상, 한 작품으로 세 번의 부커상 수상이라는 문학사상 유일무이한 기록을... ",20150730
83,아라포 현자의 이세계 생활 일기 6,http://book.naver.com/bookdb/book_detail.php?bid=16108735,https://bookthumb-phinf.pstatic.net/cover/161/087/16108735.jpg?type=m1&udate=20200110,코토부키 야스키요,9000,8100,디앤씨미디어,1127853929 9791127853921,"제로스는 츠베이트 호위 임무를 완수하고 마침내 집으로 돌아왔다.
한편, 페어리 로제와 싸우고 자신의 약점을 뼈저리게 깨달은 이리스는
꼬꼬에게 가르침을 구하고 격투 훈련에 매진한다. 마도사인데도…….
한편, 양육원 아이들은 꼬꼬에게 다양한 전투 훈련을 받아
슬슬 실전 경험을 쌓아도 될 정도로 실력이... ",20200110
84,리진 2,http://book.naver.com/bookdb/book_detail.php?bid=2921022,https://bookthumb-phinf.pstatic.net/cover/029/210/02921022.jpg?type=m1&udate=20100414,신경숙,13500,12150,문학동네,8954603238 9788954603232,"궁중 무희와 프랑스 외교관의 애틋한 사랑이 펼쳐진다!

&lt;깊은 슬픔&gt;, &lt;기차는 7시에 떠나네&gt;의 작가, 신경숙 다섯 번째 장편소설 『리진』제2권 완결편. 19세기 말, 조선의 궁중 무희 '리진'과 프랑스 외교관의 사랑 이야기를 담았다. 작가는 조선의 궁정에서 프랑스 파리에 샹젤리제에 이르는 광대한... ",20070530
85,리진 1,http://book.naver.com/bookdb/book_detail.php?bid=2921021,https://bookthumb-phinf.pstatic.net/cover/029/210/02921021.jpg?type=m1&udate=20091215,신경숙,13500,12150,문학동네,895460322X 9788954603225,"신경숙 작가가 6년이라는 긴 침묵을 깨고 펴낸 장편소설. 궁중 무희의 신분으로 프랑스 외교관을 사랑한 실존 여인, '리진'의 삶을 그린 작품이다. 19세기말, 시대의 역동 속에서 자기만의 운명과 사랑을 만들어간 한 여인의 모습이 섬세하고 아름답게 그려졌다.'내가 리진의 존재를 처음 알게 된 것은 사 년... ",20070530
86,한밤의 아이들 1 (세계문학전집 79),http://book.naver.com/bookdb/book_detail.php?bid=6750853,https://bookthumb-phinf.pstatic.net/cover/067/508/06750853.jpg?type=m1&udate=20111019,살만 루슈디,14000,12600,문학동네,8954615341 9788954615341,"1981년 출간되어 그해 부커상과 테이트 블랙 메모리얼 상을 수상했으며, 이후 부커상 25주년 기념 ‘부커 오브 부커스’, 부커상 40주년을 기념해 일반 독자를 대상으로 수상작 중 가장 사랑하는 작품을 선정한 ‘베스트 오브 더 부커’를 수상, 한 작품으로 세 번의 부커상 수상이라는 문학사상 유일무이한 기록을... ",20111010
87,행복한 청소부 (세상을 아름답게 만드는),http://book.naver.com/bookdb/book_detail.php?bid=14824617,https://bookthumb-phinf.pstatic.net/cover/148/246/14824617.jpg?type=m1&udate=20190508,모니카 페트,12000,10800,풀빛,116172138X 9791161721385,"하지만 많은 독자들이 안타깝게 여긴 것이 바로 그림책이란 이유로, 청소년 및 일반 독자에게 전해지기가 쉽지 않다는 것이었다. 그래서 책에 담겨진 진지하고도 따뜻한 내용을 여러 독자층에게 폭넓게 공감할 수 있는 방법이 없을까? 라는 고민을 하게 되었고, 여러 가지 방법을 모색한 끝에 세 권의 책을 한데... ",20190417
88,책도둑 2/완결,http://book.naver.com/bookdb/book_detail.php?bid=4387956,https://bookthumb-phinf.pstatic.net/cover/043/879/04387956.jpg?type=m1&udate=20100414,마커스 주삭,13000,11700,문학동네,8954604978 9788954604970,"사람들은 나를 책도둑이라고 부른다!

죽음의 신이 들려주는 세상에서 가장 특별한 도둑 이야기. 제2차 세계대전 당시 독일을 배경으로 전쟁의 비극과 공포 속에서도 말(言)과 책에 대한 사랑으로 삶을 버텨나갈 수 있었던 한 소녀의 이야기를 서정적이고 아름다운 필치로 철학적이고 사색적으로 그려내고 있다.... ",20150318
89,"비탄의 아리아 29 (맹약의 첩후,에스피오나시, J Novel)",http://book.naver.com/bookdb/book_detail.php?bid=16390002,https://bookthumb-phinf.pstatic.net/cover/163/900/16390002.jpg?type=m1&udate=20200707,아카마츠 츄가쿠,7000,6300,서울미디어코믹스(서울문화사),1136719288 9791136719287,"그 최고 레벨인 S랭크 무정·아리아의 파트너로 선택된 (평소에는) 그냥 일반
인인 토오야마 킨지.
네모와 함께 무인도 생활을 마치고 귀환한 킨지는 무정청과 공안 0과에게 사립 여자 고등
학교에 잠입해 수사하라는 명령을 받는다. 학생들 사이에 잠복한 ‘N’의 간부인 히드라를
체포하기 위해서다. 자신의... ",20200624
90,렉싱턴의 유령 (무라카미 하루키 소설),http://book.naver.com/bookdb/book_detail.php?bid=2094585,https://bookthumb-phinf.pstatic.net/cover/020/945/02094585.jpg?type=m1&udate=20190212,무라카미 하루키,13500,12150,문학사상,8970127356 9788970127354,독자적 풍경을 가진 작은 우주 같은 단편들!무라카미 하루키 단편문학의 정수를 보여주는 작품집 『렉싱턴의 유령』. 1996년에 발표된 이 책에는 하루키가 1991년부터 장편 《태엽감는 새》를 전후해 집필한 환상적인 단편들이 수록되어 있다. 로카르노국제영화제 3개 부문을 수상한 영화 《토니 다키타니》의... ,20060113
91,캐비닛 (제12회 문학동네소설상 수상작),http://book.naver.com/bookdb/book_detail.php?bid=2620307,https://bookthumb-phinf.pstatic.net/cover/026/203/02620307.jpg?type=m1&udate=20170718,김언수,12000,10800,문학동네,8954602592 9788954602594,"2006년 제12화 문학동네 소설상 수상작. 세상의 진실을 있는 그대로 고스란히 담아두는 '13호 캐비닛'을 무대로 펼쳐지는 이야기로, 탄탄한 필력과 구성진 입심으로 싱싱하고 리얼한 이야기를 들려준다. 3부로 구성된 각각의 파트는 독립적인 에피소드들이 상호연결되어 독특한 구성을 선보이고 있다.

작품의... ",20061221
